address,name,file,length
0x21d1,gUnk_080021D1,asm/code_080011C4.o,0x7
0x21d8,gUnk_080021D8,asm/code_080011C4.o,0x9
0x21e1,gUnk_080021E1,asm/code_080011C4.o,0x7
0x21e8,gUnk_080021E8,asm/code_080011C4.o,0x9
0x21f1,gUnk_080021F1,asm/code_080011C4.o,0x7
0x21f8,gUnk_080021F8,asm/code_080011C4.o,0x7
0x21ff,gUnk_080021FF,asm/code_080011C4.o,0x7
0x2206,gUnk_08002206,asm/code_080011C4.o,0x7
0x220d,gUnk_0800220D,asm/code_080011C4.o,0x7
0x2214,gUnk_08002214,asm/code_080011C4.o,0x7
0x221b,gUnk_0800221B,asm/code_080011C4.o,0x7
0x2222,gUnk_08002222,asm/code_080011C4.o,0x7
0x2229,gUnk_08002229,asm/code_080011C4.o,0x7
0x2230,gUnk_08002230,asm/code_080011C4.o,0x9
0x2239,gUnk_08002239,asm/code_080011C4.o,0x7
0x2240,gUnk_08002240,asm/code_080011C4.o,0x7
0x2247,gUnk_08002247,asm/code_080011C4.o,0x7
0x224e,gUnk_0800224E,asm/code_080011C4.o,0x7
0x2255,gUnk_08002255,asm/code_080011C4.o,0x7
0x225c,gUnk_0800225C,asm/code_080011C4.o,0x7
0x2263,gUnk_08002263,asm/code_080011C4.o,0x1
0x2264,gUnk_08002264,asm/code_080011C4.o,0x6
0x226a,gUnk_0800226A,asm/code_080011C4.o,0x7
0x2271,gUnk_08002271,asm/code_080011C4.o,0x7
0x2278,gUnk_08002278,asm/code_080011C4.o,0x7
0x227f,gUnk_0800227F,asm/code_080011C4.o,0x7
0x2286,gUnk_08002286,asm/code_080011C4.o,0x7
0x228d,gUnk_0800228D,asm/code_080011C4.o,0x7
0x2294,gUnk_08002294,asm/code_080011C4.o,0x7
0x229b,gUnk_0800229B,asm/code_080011C4.o,0xc
0x22a7,gUnk_080022A7,asm/code_080011C4.o,0xc
0x22b3,gUnk_080022B3,asm/code_080011C4.o,0xc
0x22bf,gUnk_080022BF,asm/code_080011C4.o,0xc
0x22cb,gUnk_080022CB,asm/code_080011C4.o,0xc
0x22d7,gUnk_080022D7,asm/code_080011C4.o,0x7
0x22de,gUnk_080022DE,asm/code_080011C4.o,0x7
0x22e5,gUnk_080022E5,asm/code_080011C4.o,0x7
0x22ec,gUnk_080022EC,asm/code_080011C4.o,0x7
