romA,addressA,romB,addressB,certainty,author,note,enabled
USA,0xd0cf4,DEMO,0xd0878,5,octorock,Pointer at USA 0x3134,False
USA,0xd0cf4,JP,0xd0a94,5,octorock,Pointer at USA 0x3134,False
USA,0xd1530,DEMO,0xd10b4,5,octorock,Pointer at USA 0x3144,False
USA,0xd1530,JP,0xd12d0,5,octorock,Pointer at USA 0x3144,False
USA,0xd11ac,DEMO,0xd0d30,5,octorock,Pointer at USA 0x3154,False
USA,0xd11ac,JP,0xd0f4c,5,octorock,Pointer at USA 0x3154,False
USA,0x112ff4,DEMO,0x112b78,5,octorock,Pointer at USA 0x3164,False
USA,0x112ff4,JP,0x112cb8,5,octorock,Pointer at USA 0x3164,False
USA,0x113024,DEMO,0x112ba8,5,octorock,Pointer at USA 0x3174,False
USA,0x113024,JP,0x112ce8,5,octorock,Pointer at USA 0x3174,False
USA,0xd07ec,DEMO,0xd0370,5,octorock,Pointer at USA 0x3184,False
USA,0xd07ec,JP,0xd058c,5,octorock,Pointer at USA 0x3184,False
